Text,Image Link,Date,Hashtags,Tweet URL
"It's so interesting how powerful our utterances are.  A year ago today, i spoke the life i wanted into being. Today, well...  let me just say... I feel nothing but gratitude.",https://pbs.twimg.com/media/FReNluRXMAEP4C0?format=jpg&name=900x900,04/29/2022,#Blessed #PlusOne #ThoughtsBecomeThings,https://twitter.com/jessicaosgh/status/1519839080011423746
Blessed to be ranked⭐️⭐️⭐️⭐️,https://pbs.twimg.com/media/FRh60UFXEAA32Tm?format=jpg&name=large,04/29/2022,#AGTG #Blessed #Ripgranny,https://twitter.com/OttisjonesIV/status/1520099921663250439
"And so so emotional right now.
Just THANK YOU.🙏🏻",https://pbs.twimg.com/media/FRg2YPzagAEqEyT?format=jpg&name=medium,04/29/2022,#Grateful #Blessed ,https://twitter.com/RukminiMaitra/status/1520024674285273095
Plan the direction you want to go.,https://pbs.twimg.com/media/FRxd8BhWYAA3rxy?format=png&name=4096x4096,05/02/2022,#determination #motivation #lifestyle #strong #dedication #inspiration #success #goals #focus #nevergiveup #believe,https://twitter.com/OshunPublicaton/status/1521194064816787457
Developing your organisation’s strategic thinking skills can help to create clear and realistic business plans underpinned by strategic intelligence. ,https://pbs.twimg.com/media/FRxd9jEXsAYvoeI?format=jpg&name=900x900,05/02/2022,#Strategy #Leadership #Goals #Planning #Skills,https://twitter.com/interchangepd/status/1521194093845618691
Be thankful... ❤️,https://pbs.twimg.com/media/FRvV2HfXIAAk0PX?format=jpg&name=900x900,05/02/2022,#goals,https://twitter.com/marshawright/status/1521044426281345024
Last day of Rio carnival and birthday flowers – Monday’s best photos http://dlvr.it/SPczgV,https://pbs.twimg.com/media/FRwbzPRVsAAFvld?format=jpg&name=900x900,05/02/2022,#photography,https://twitter.com/ZaibatsuPlanet/status/1521121343390961665
Goodnight my friends !,https://pbs.twimg.com/media/FRsiEyOWYAApL7s?format=jpg&name=900x900,05/01/2022,#photos #photography #night #moonlight,https://twitter.com/KatanaHugo/status/1520846780816048132
A gift from the nature for you !,https://pbs.twimg.com/media/FRvNRtXWQAIgVNs?format=jpg&name=900x900,05/02/2022,#photos #photography #nature #trees #gift,https://twitter.com/KatanaHugo/status/1521035042646073345
"💸 $250 Giveaway

This will be a tough one 😉

We'll select 10 correct answers randomly and award $25 to each account!

Rules: 👇

1️⃣ Tag a Friend
2️⃣ Must Like, Follow & Retweet 
3️⃣ Ends 4th of May",https://pbs.twimg.com/media/FRuXORJXoAAFXoM?format=jpg&name=900x900,05/02/2022,#contest #Prize #competition #BTC #ETH #Giveaway,https://twitter.com/gamdom/status/1521157568663482369
"🚨GIVEAWAY TIME🚨

We are giving away some official A$$ sweaters!

Like, RT and tag 3 friends on this post! Must be a Diamond Hands Holder to be considered eligible!

💎x3 winners in 72 hours💎",https://pbs.twimg.com/media/FRtvJqdX0AEACPe?format=jpg&name=medium,05/02/2022,#NFT #NFTCommunity #Giveaways #Contest #digitalart #Web3 #WAGMI #Crypto #NFTs #merch #DiamondHands #Holder,https://twitter.com/AlienSecretSoc/status/1520941349113057284
"Crossing my fingers I win $5,000 from 
@TMobile
 🤞",https://pbs.twimg.com/ad_img/1362871720730746884/jR4GDWdt?format=png&name=900x900,05/02/2022,#5Gsfor5G #contest,https://twitter.com/BookDragon_Kat/status/1521196690535075841
"He may have already seen it considering how much of a media savant he is, but I’d be very interested to hear 
@Kojima_Hideo
 thoughts on the David Mamet film Redbelt.",https://pbs.twimg.com/media/FRuP9PNUYAAGebz?format=jpg&name=large,05/01/2022,#movies,https://twitter.com/ObservantGun/status/1520967585226903555
Comment down..,https://pbs.twimg.com/media/FRr6asKacAEVqzP?format=jpg&name=900x900,05/01/2022,#villain #villains #series #tvseries #movie #movies #rvcjmovies,https://twitter.com/rvcjmovies/status/1520803166941458432
"Friday the 13th Countdown
Day 2
Horror and Movie Game Challenge
Spot the films!",https://pbs.twimg.com/media/FRwLh8SXoAA95DA?format=jpg&name=small,05/02/2022,#HorrorCommunity #movies,https://twitter.com/JasonVoorheesIM/status/1521103468387311618
Started May off with a run in the park. 4.4 miles,https://pbs.twimg.com/media/FRsjUBuVIAAsx2-?format=jpg&name=900x900,05/01/2022,#running #fitness,https://twitter.com/PangPangKat/status/1520848144325496832
"Another day, another 5 miles. I'm on a 4 day streak, feeling amazing ",https://pbs.twimg.com/media/FRwYvuTXIAA_A4N?format=jpg&name=large,05/02/2022,#run #running,https://twitter.com/Brianrpgxme/status/1521117991001284609
"Bank Holiday Monday Evening Run, hope everyones had a fab long Weekend 🙌🏻🥳",https://pbs.twimg.com/media/FRxfR0VXIAIwVO4?format=jpg&name=900x900,05/02/2022,#fitover40 #dedication #running #strava #stravarun #fitnessmotivation #runningmotivation #runningman #runningcommunity #GoodEvening #GoodEveningTwitter,https://twitter.com/Rich_UK_Runner/status/1521195540918190081
"The golden kids are quite rare and you don't see them a lot. 📦👀
 
🎉 3x whitelist giveaway for Carton Kids

To enter:
✅ Follow 
@CartonkidsNFT
 & 
@YAKIEBV
 
✅ Like, RT & Tag 2 friends.

Winners will be picked within 48 hours.",https://pbs.twimg.com/media/FRsEf6LWUAADyEp?format=jpg&name=900x900,05/01/2022,#Cartonkids #giveaway,https://twitter.com/CartonkidsNFT/status/1520814555361861632
"🎁TrippyKidz WL GIVEAWAY 🎁 

🏆2x WL Spots 

To Enter: 
1⃣Follow 
@TrippyKidzNFT
 & 
@TheSolanaBoss

2⃣RT, ❤️ & tag 2 friends 

🔔Winners announced in 48 hours🔔 ",https://pbs.twimg.com/media/FRq3D_JWQAElTag?format=jpg&name=900x900,05/01/2022,#SolanaNFTs #Giveaway,https://twitter.com/TheSolanaBoss/status/1520734784724430849
"RT and follow 
@OriginalFunko
 for the chance to WIN the Marvel: Doctor Strange in the Multiverse of Madness - Doctor Strange POP! Not feeling lucky? Pre-Order now: https://bit.ly/3F4cwYm",https://pbs.twimg.com/media/FRt8ga6X0AArjzg?format=jpg&name=small,05/01/2022,#Funko #FunkoPOP #Giveaway #Marvel,https://twitter.com/OriginalFunko/status/1520946201390202880
