Text,Date,Hashtags
Who wants a free NFT? ,03/31/2022,#NFTGivaway #NFT #Competition
"🌸Spring giveaway!🌸We're giving away one Spring book bundle.✨📚
Simply follow us and RT to enter. Giveaway ends at 11.59 GMT on 2nd April and is UK only. ",03/31/2022,"#Giveaway #Spring #FolkloreThursday #competition
"
"Series 2 of Bridgerton is back today! 😍 To celebrate we are giving you the chance to win a Bridgerton themed Cake Card 💌 For a chance to win simply Follow us, RT and comment 'I Burn For You'. The winner will be announced Friday 1st April! UK Entrants Only 🇬🇧",03/25/2022,#Competition #FF
"*WIN* For your chance to win new active shoes to activate your soles from https://bit.ly/3H00778 simply RT & follow. 

Closes 30th March 2022, one winner will be chosen. Open worldwide. All DM's will be sent from this account only.",03/23/2022,#win #competition
"Throwing it back to Prey, 2007",03/31/2022,#tbt
Since it’s Thursday,03/31/2022,#tbt
"August 2011 -- Before being honored at a rally at 
@thesquarepdx
, Arvydas Sabonis stopped to help at a basketball clinic at Eichler Park in Beaverton following his 2011 induction into the @Hoophall",09/16/2021,#tbt
From drafting Giannis at 18 to winning an NBA Championship at 26. Time really moves fast.,07/27/2021,#TBT
Where'd you go this summer? 🍌🚤,08/04/2015,#TravelTuesday
"On the Morbius tour, visit one of 
@JaredLeto
’s favorite cities in the world… Paris!",03/29/2022,#TravelTuesday
Happy Tuesday from sunny Grand Anse Beach.,03/29/2022,#lifeofspice #grenada #traveltuesday
Learning and sharing in our travels is key. ,03/29/2022,#TravelTuesday #Tuesday
All animals deserve our love!,03/29/2022,#vegan
It's Vegan Taco Time! This time with vegan chorizo.,12/09/2021,#Uptonnaturals #veganfood #vegan
"another day of dispelling myths about veganism, one person at a time. choose compassion, be vegan",03/31/2022,#vegan
vegans are vegans because we saw thru the lies & realised that all life is precious..peace 🙏,03/31/2022,#vegan #veganism #veganfood #rights
"14 years ago, 
@stephencurry30
 & 
@DavidsonMBB
 shocked the world (and 
@KingJames
) to beat Wisconsin and advance to the Elite8! 🔥",03/28/2022,#Elite8 #MarchMadness
The official NCAA March Madness destination for all things Division I NCAA Men's Basketball.,,#MarchMadness
"No 15 seed has ever made the Elite 8……..Until now🔥

The St. Peter’s Peacocks take down #3 Purdue on Peacock Day 🦚 🏀",03/25/2022,#MarchMadness
"We’ve got a 
@umichbball
 x 
@NovaMBB
 rivalry on our hands. Hear what the guys had to say about it 👇",02/24/2022,#MarchMadness
Grateful to be back doing what i love the most...let’s all keep inspiring the younger generations and make this world a better place for everyone. 🙏🏽🔮,07/30/2020,#equality #love
"Toronto: join me on this special night celebrating the 
@IbakaFoundation
. Will be fun and you will support a great cause! More info:

http://sergeibakafoundationgala2019.com",03/07/2019,#toronto #canada #ontario #torontoraptors #wethenorth #love #charity #news #fundraiser #torontolife #AnythingIsPossible
Owl mother with her babies!,03/26/2022,#love #family #NaturePhotography
"""Mom, I love you."" ❤️",03/29/2022,#love
"VAIDS - Are we yet to witness
the true extent of EVIL that
resides within the
COVID SHOTS 💉 ???  ",03/31/2022,#VAIDS #AdverseReactions #PfizerGate #BillGates   #BoosterDose #CovidRegime #variants #nocovidpassport #BidenIsADisgrace #fauci  #COVID19 #VaccineSideEffects
"“Science” doesn’t need multi million dollar advertising for or against a product. Given how intensely they’ve been saying it does at work, it’s clear it does.",03/31/2022,#covid #covid19 #covid_19 #ukraine #russia #misinformation
"🚨🚨 New ONS data shows no statistical evidence that having one vaccine more than 180 days ago, a second Pfizer vaccine 91 to 180 days ago, or a third vaccine more than 90 days ago affected a person's likelihood of testing positive for COVID19",03/30/2022,#COVID19
"The pandemic handed the world to the bad people. 

The selfish, the greedy, the least concerned, the ones that would literally let someone die before inconveniencing themselves.",03/28/2022,#COVID19 #CovidIsNotOver
